2010,2011,2012,2013,2014,2015,Borough,,,
"10,488,087","11,149,629","11,492,780","11,793,956","12,197,352","12,765,132",Brooklyn,,,
Jefferson St  L subway,,,,,,,,,
"1,740,644","1,815,391","1,906,878","2,136,772","2,425,983","2,514,292",Brooklyn,,,
Junius St  3 subway,,,,,,,,,
"672,366","678,990","660,013","690,625","727,369","928,235",Brooklyn,,,
Kings Hwy  B subway Q subway,,,,,,,,,
"5,755,515","5,311,662","5,453,084","5,697,467","5,693,562","5,905,481",Brooklyn,,,
Kings Hwy  F subway,,,,,,,,,
"1,073,519","1,115,062","1,117,098","1,134,042","1,137,784","1,202,640",Brooklyn,,,
Kings Hwy  N subway ,,,,,,,,,
"1,602,420","1,601,357","1,616,827","1,630,749","1,687,226","1,710,115",Brooklyn,,,
Kingston Av  3 subway,,,,,,,,,
"1,485,344","1,519,113","1,515,277","1,545,567","1,564,089","1,573,003",Brooklyn,,,
Kingston-Throop Avs C subway,,,,,,,,,
"1,571,551","1,659,127","1,703,474","1,834,623","1,887,628","1,992,480",Brooklyn,,,
Knickerbocker Av M subway,,,,,,,,,
"1,007,087","1,136,213","702,426","1,018,286","1,147,331","1,288,025",Brooklyn,,,
Kosciuszko St  J subway,,,,,,,,,
"1,401,401","1,468,119","1,482,044","1,515,244","1,521,002","1,593,719",Brooklyn,,,
Lafayette Av  C subway ,,,,,,,,,
"1,525,942","1,556,902","1,582,360","1,638,947","1,617,464","1,631,737",Brooklyn,,,
Liberty Av  C subway,,,,,,,,,
"837,165","817,481","796,044","810,031","807,678","858,554",Brooklyn,,,
Livonia Av  L subway,,,,,,,,,
"785,229","829,015","902,860","934,287","987,560","1,001,522",Brooklyn,,,
Lorimer St  J subway M subway,,,,,,,,,
"1,404,557","1,470,761","1,494,085","1,523,986","1,500,980","1,614,154",Brooklyn,,,
Lorimer St  L subway /Metropolitan Av G subway,,,,,,,,,
"4,394,498","4,479,022","4,643,512","5,040,719","5,090,344","5,238,736",Brooklyn,,,
Marcy Av  J subway M subway Z subway,,,,,,,,,
"3,276,009","3,609,981","3,564,065","3,681,903","3,953,628","4,204,877",Brooklyn,,,
Montrose Av  L subway,,,,,,,,,
"1,951,066","1,983,449","2,075,901","2,178,772","2,335,128","2,334,271",Brooklyn,,,
Morgan Av  L subway,,,,,,,,,
"2,021,162","2,114,813","2,262,826","2,373,595","2,513,823","2,453,723",Brooklyn,,,
Myrtle Av  J subway M subway Z subway,,,,,,,,,
"2,991,967","3,155,344","3,257,338","3,562,631","3,523,740","3,687,468",Brooklyn,,,
